category_group,category_group_id,category_name,category_id,hidden
Off budget,e593bacb-7f6b-475e-b0dd-db03edcdfac4,Aikido,ab20c045-4e6b-402a-a569-6cb84abd4e67,False
Off budget,e593bacb-7f6b-475e-b0dd-db03edcdfac4,Pilates,f9e4b2f0-19f8-4cd9-bf6f-944b5f8f34f1,False
Planned extra expense,cd07135e-9e49-4997-96d5-eca4edf68455,Albania 2026,4d78f6a6-d5eb-4a6e-8c04-2c3d8f972255,False
Planned extra expense,cd07135e-9e49-4997-96d5-eca4edf68455,Danielle Braces,e80dd8cc-abf6-41e2-a6ab-a7520fb6005e,False
Planned extra expense,cd07135e-9e49-4997-96d5-eca4edf68455,Future planned expenses,1dcbf1ea-91cb-4716-a059-bf8a4c7372eb,False
Planned extra expense,cd07135e-9e49-4997-96d5-eca4edf68455,Summer 2025,e39151c7-7870-4917-94bc-603814dac04d,False
Planned extra expense,cd07135e-9e49-4997-96d5-eca4edf68455,Bulgaria July 2025,01e346ca-edb0-4458-adc1-f2bb0d89d654,False
Planned extra expense,cd07135e-9e49-4997-96d5-eca4edf68455,Greece 2025,1bca319a-148b-4e2b-b50f-a8e9e961d9e0,False
Planned extra expense,cd07135e-9e49-4997-96d5-eca4edf68455,Car 2024 80000,24a768b8-f33f-42db-b0bc-a6c96c675544,False
Planned extra expense,cd07135e-9e49-4997-96d5-eca4edf68455,Mikael teenager 20000,d2dc3b16-a25a-480d-b541-9f6b003734cd,False
Planned extra expense,cd07135e-9e49-4997-96d5-eca4edf68455,Bat Mitzvah 17000,90db3cae-ebd9-45f2-a1cb-8669d59bf6e3,False
Planned extra expense,cd07135e-9e49-4997-96d5-eca4edf68455,Summer 2024 8000,e76c8506-f841-46e7-8b94-0967f7167fc0,False
Planned extra expense,cd07135e-9e49-4997-96d5-eca4edf68455,House 2024 4000,5e1999e7-d8ca-4ad3-995c-75a4a66e05c0,False
Planned extra expense,cd07135e-9e49-4997-96d5-eca4edf68455,Vacation 2024 4000,5006d800-0de9-4ae7-ad28-fc4636c9adae,False
Credit Card Payments,04483db2-db75-4898-9d2c-abdc98ad6a4b,Opher X5898,fb98f4c0-b940-429e-b216-f6051a636ac2,False
Credit Card Payments,04483db2-db75-4898-9d2c-abdc98ad6a4b,Liya X7195,87d4ba1d-0c94-4b6d-bac5-4d0d761a1c07,False
Credit Card Payments,04483db2-db75-4898-9d2c-abdc98ad6a4b,Opher x9922,0c4090e5-b03d-477b-aa73-5464991c1a46,False
