rule_id,is_active,priority,txn_kind,fingerprint,description_clean_norm,account_name,source,direction,currency,amount_bucket,payee_canonical,category_target,notes
duty_free_101,True,0,,duty free,,,,,,,Duty free books,Bulgaria July 2025,bootstrap count=1
el_al_israel_airlines_102,True,0,,el al israel airlines,,,,,,,El al,University,bootstrap count=1
em_yu_zeng_103,True,0,,em yu zeng,,,,,,,Subject payment,University,bootstrap count=2
etsy_etsy_104,True,0,,etsy etsy,,,,,,,Etsy,Gifts,bootstrap count=1
experiment_gongxu_ji_ed_gongxu_ji_105,True,0,,experiment gongxu ji ed gongxu ji,,,,,,,Subject payment,University,bootstrap count=2
experiment_yipeng_gou_em_yipeng_gou_106,True,0,,experiment yipeng gou em yipeng gou,,,,,,,Subject payment,University,bootstrap count=2
fika_פיקה_107,True,0,,fika פיקה,,,,,,,Fika Tel Aviv,Birthdays,bootstrap count=1
get_bike_108,True,0,,get bike,,,,,,,Get Bike,House and stuff,bootstrap count=1
gett_109,True,0,,gett,,,,,,,Gett,Transportation,bootstrap count=1
gongxu_ji_110,True,0,,gongxu ji,,,,,,,Subject,University,bootstrap count=2
gongxu_ji_111,True,0,,gongxu ji,,,,,,,Merkaz Hahalbasha,Clothing,bootstrap count=1
gongxu_ji_112,True,0,,gongxu ji,,,,,,,Present,Gifts,bootstrap count=1
good_market_113,True,0,,good market,,,,,,,Good Market Tel Aviv University,Opher food,bootstrap count=1
happy_market_bansko_114,True,0,,happy market bansko,,,,,,,Happy Barket Bansko,Bulgaria July 2025,bootstrap count=1
hatch_115,True,0,,hatch,,,,,,,Hatch Shuck Jerusalem,Vacation 2024 4000,bootstrap count=1
hot_116,True,0,,hot,,,,,,,HOT,Internet,bootstrap count=8
ice_city_117,True,0,,ice city,,,,,,,Ice City,Going out and restaurants,bootstrap count=4
iherb_iherb_iherb_118,True,0,,iherb iherb iherb,,,,,,,iHerb,House and stuff,bootstrap count=2
iherb_iherb_iherb_119,True,0,,iherb iherb iherb,,,,,,,iHerb,Loans and transfers,bootstrap count=1
illusions_sofia_sofiya_125,True,0,,illusions sofia sofiya,,,,,,,Illusions Sofia,Bulgaria July 2025,bootstrap count=1
isweet_126,True,0,,isweet,,,,,,,Isweet,Going out and restaurants,bootstrap count=1
japanika_127,True,0,,japanika,,,,,,,Japanika,Going out and restaurants,bootstrap count=1
japanika_128,True,0,,japanika,,,,,,,Japanika,Summer 2024 8000,bootstrap count=1
japanika_129,True,0,,japanika,,,,,,,Japanika,Summer 2025,bootstrap count=1
jatin_experiment_jatin_pandit_130,True,0,,jatin experiment jatin pandit,,,,,,,Subject,University,bootstrap count=4
juice_bar_pier_schwechat_131,True,0,,juice bar pier schwechat,,,,,,,Juice Bar Vienna Airport,University,bootstrap count=1
kokkina_pytharia_vytina_132,True,0,,kokkina pytharia vytina,,,,,,,Kokkina,Greece 2025,bootstrap count=1
ksp_133,True,0,,ksp,,,,,,,KSP,House and stuff,bootstrap count=3
ksp_134,True,0,,ksp,,,,,,,KSP,Bulgaria July 2025,bootstrap count=1
lime_payoff_jby5_li_me_135,True,0,,lime payoff jby5 li me,,,,,,,Lime,Transportation,bootstrap count=2
lime_ride_jby5_li_me_136,True,0,,lime ride jby5 li me,,,,,,,Lime,Transportation,bootstrap count=2
ma_baker_eood_sofia_137,True,0,,ma baker eood sofia,,,,,,,Baker Food Sofia,Bulgaria July 2025,bootstrap count=1
mona_liza_eood_sofiya_138,True,0,,mona liza eood sofiya,,,,,,,Mona Liza Bulgaria,Bulgaria July 2025,bootstrap count=1
mr_pretzels_israel_139,True,0,,mr pretzels israel,,,,,,,Mr. Pretzel,Going out and restaurants,bootstrap count=1
next_www2_next_gb_140,True,0,,next www2 next gb,,,,,,,Next online,Pilates,bootstrap count=1
nila_kadamannil_141,True,0,,nila kadamannil,,,,,,,Subject,University,bootstrap count=2
nyx_serdicastarltd_sofia_142,True,0,,nyx serdicastarltd sofia,,,,,,,Lockers Sofia,Bulgaria July 2025,bootstrap count=1
obsidian_md_oakville_143,True,0,,obsidian md oakville,,,,,,,Obsidian,University,bootstrap count=1
oomai_144,True,0,,oomai,,,,,,,Oomai sushi tel aviv,Going out and restaurants,bootstrap count=1
open_spot_145,True,0,,open spot,,,,,,,Offen Spot,🛍️Groceries,bootstrap count=5
opher_donchin_146,True,0,,opher donchin,,,,,,,Transfer : US Money,Ready to Assign,bootstrap count=17
opher_donchin_147,True,0,,opher donchin,,,,,,,Transfer : US Money,Future planned expenses,bootstrap count=2
ortokal_httpsortokal_148,True,0,,ortokal httpsortokal,,,,,,,Ortokal,Pilates,bootstrap count=2
paybox_149,True,0,,paybox,,,,,,,Sarah Therapist,Chugim parents,bootstrap count=6
paybox_150,True,0,,paybox,,,,,,,Noga Homeopathy,Chugim parents,bootstrap count=3
paybox_151,True,0,,paybox,,,,,,,Liron study help,Chugim,bootstrap count=2
paybox_152,True,0,,paybox,,,,,,,Strategies teacher,Chugim,bootstrap count=2
paybox_153,True,0,,paybox,,,,,,,Amir Diet,Medical,bootstrap count=1
paybox_154,True,0,,paybox,,,,,,,Boaz,Pilates,bootstrap count=1
